family,schedule,date,J_plan,J_rev,J_emerg,J,e_kWh,a_up_kWh
pt,none,2025-04-14,36365.90823296843,0.0,5876.842532464407,42242.75076543284,1517.951669444444,0.0
pt,none,2025-04-15,31264.94157355848,0.0,17815.619751622235,49080.561325180715,4121.989256944447,0.0
pt,none,2025-04-16,34494.13026370996,0.0,12373.553355231916,46867.683618941875,2975.3840229166594,0.0
pt,none,2025-04-17,32121.875046102912,0.0,17131.58793984513,49253.46298594804,4446.911685416666,0.0
pt,none,2025-04-18,12552.166794340661,0.0,13509.65129337378,26061.81808771444,3287.06495486111,0.0
pt,none,2025-04-19,11996.164411215794,0.0,14921.252003907288,26917.41641512308,3554.3388184027776,0.0
pt,none,2025-04-20,32198.69699913097,0.0,17493.608544471877,49692.30554360285,4414.803422569445,0.0
pt,none,2025-04-21,34151.14126052944,0.0,5197.864627988012,39349.00588851745,1358.2791361111094,0.0
pt,none,2025-04-22,30875.372061007613,0.0,24936.098909221007,55811.47097022862,6894.786689236111,0.0
pt,none,2025-04-23,29855.585663036072,0.0,26685.04376364289,56540.62942667896,6920.136802083334,0.0
pt,none,2025-04-24,30572.91946593447,0.0,11824.299297098269,42397.21876303274,3205.3281388888913,0.0
pt,none,2025-04-25,12036.98463686594,0.0,5797.334229123954,17834.318865989895,1440.090153819444,0.0
pt,none,2025-04-26,11930.23383196719,0.0,12874.233751345137,24804.467583312326,2995.5332055555546,0.0
pt,none,2025-04-27,29598.187837916532,0.0,18049.825950441656,47648.01378835819,4123.059003124998,0.0
pt,none,2025-04-28,35579.6315656445,0.0,8621.347252528634,44200.978818173135,1952.5403565972192,0.0
pt,none,2025-04-29,30229.68815221868,0.0,13253.070689453638,43482.758841672316,2933.770758333332,0.0
pt,none,2025-04-30,29519.468991629088,0.0,17326.453851344966,46845.922842974054,4753.995486458333,0.0
pt,none,2025-05-01,30753.94940990811,0.0,22642.682932495125,53396.63234240323,5093.517661805554,0.0
pt,none,2025-05-02,12964.482144587813,0.0,21496.594495519792,34461.0766401076,4786.092813194446,0.0
pt,none,2025-05-03,12143.015023857275,0.0,16921.552339529342,29064.567363386617,3535.1584388888896,0.0
