policy,date,J_plan,J_emerg,J,e_kWh
point,2025-11-19,48428.07567469508,11859.688983779333,60287.764658474414,2938.9476036323927
point,2025-11-20,48992.77394104439,9191.75171055682,58184.52565160121,2424.459903765691
point,2025-11-21,18210.47432172864,5813.791702907358,24024.266024636,1856.1412956821794
point,2025-11-22,18332.770284250095,6403.339087823852,24736.109372073948,1665.4597301517117
point,2025-11-23,49826.77029572736,10248.344802851174,60075.115098578535,2466.85728851376
point,2025-11-24,49250.92626832405,7760.887895874516,57011.81416419857,1920.9675741031285
point,2025-11-25,49456.65864095205,9191.434835685139,58648.093476637194,2483.439976916395
point,2025-11-26,49946.741295143205,10115.016628133943,60061.757923277146,2695.6929882972777
point,2025-11-27,50175.019807014,7399.350279686918,57574.37008670092,1880.2536682632344
point,2025-11-28,18626.669042273017,8331.733473189359,26958.402515462374,2038.4896413864044
point,2025-11-29,18900.715620360003,16703.024401883842,35603.740022243845,4822.504263745953
point,2025-11-30,51276.74934326188,15011.375254392651,66288.12459765453,3910.3892867833406
point,2025-12-01,51901.282912722716,32664.45848553187,84565.74139825458,8494.681569369586
point,2025-12-02,52004.07024170163,40446.75079234275,92450.82103404438,10467.076423395629
point,2025-12-03,52742.71771724983,28769.877538818306,81512.59525606813,8305.228195833486
point,2025-12-04,52791.24360043368,29738.1888853949,82529.43248582858,7958.025456947893
point,2025-12-05,19912.124270985645,28899.460274566427,48811.584545552076,7608.429090392203
point,2025-12-06,19879.136527140567,34247.61896138544,54126.755488526,9560.74063959341
point,2025-12-07,53939.16509859968,25782.564353109392,79721.72945170908,7203.073871231506
point,2025-12-08,57936.29838651446,9248.22793046994,67184.52631698441,2554.38837877219
point,2025-12-09,58294.55072299151,9459.022494841709,67753.57321783321,2230.4612854248962
point,2025-12-10,57606.4630547981,11353.62712087344,68960.09017567153,3145.2460931130818
point,2025-12-11,58450.60394542148,5465.595762297079,63916.19970771856,1527.7042081956251
point,2025-12-12,23115.807250166956,15116.673545461366,38232.48079562832,4300.940482758938
point,2025-12-13,23597.991216623763,14040.708587739966,37638.69980436373,3276.242531721542
point,2025-12-14,58784.55928441093,8921.701988115976,67706.2612725269,2251.183144459972
point,2025-12-15,58675.16353096292,9914.394684251023,68589.55821521394,2697.455116346344
point,2025-12-16,59298.581240332045,8209.375232200333,67507.95647253237,2289.1602222490646
point,2025-12-17,58933.77104231326,6364.928984039975,65298.70002635323,1686.964097361187
point,2025-12-18,58668.12316896521,7997.41113420832,66665.53430317354,2209.656341945903
point,2025-12-19,23793.18118857171,10230.495689897494,34023.6768784692,2578.885123239981
point,2025-12-20,23883.427841740348,8474.771944125041,32358.19978586539,2101.9250684719564
point,2025-12-21,59043.16586280515,9324.992265280318,68368.15812808547,2774.3777517808994
point,2025-12-22,59106.97328116228,7738.834666924129,66845.80794808641,1979.6206083329525
point,2025-12-23,59361.96735667814,3136.8093977099134,62498.776754388055,907.0071166871626
point,2025-12-24,58916.176737131434,7655.060162633354,66571.23689976479,1808.275360144533
point,2025-12-25,58921.8584458036,7002.533773715915,65924.39221951952,2058.870628052242
point,2025-12-26,24002.307210033774,8989.183701475593,32991.49091150937,2380.649813218927
point,2025-12-27,24036.643812666713,9681.403350136214,33718.047162802926,2442.592141722148
point,2025-12-28,59406.26343795305,5641.362955259833,65047.626393212886,1549.8544637959071
point,2025-12-29,59593.82821861927,4422.8916206489575,64016.719839268226,1341.2864017479617
point,2025-12-30,59071.201996195625,4562.255079753127,63633.457075948754,1177.2531068312496
